"Jahr","Gebiet","Indikator_ID","Indikator_Name","Gruppe","Variable","Wert","Einheit","Datenquelle"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lastwagen","Gas",0.014,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Andere",0,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Andere",0,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Benzin, Diesel",3544,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Benzin, Diesel",0.977,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Elektrisch",4,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Elektrisch",0.001,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Gas",78,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Gas",0.022,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Hybrid",1,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Hybrid",0,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","PlugIn-Hybrid",0,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","PlugIn-Hybrid",0,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Wasserstoff",0,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2009,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Wasserstoff",0,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lastwagen","Benzin, Diesel",581,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lastwagen","Benzin, Diesel",0.991,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lastwagen","Elektrisch",1,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lastwagen","Elektrisch",0.002,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lastwagen","Gas",4,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lastwagen","Gas",0.007,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Andere",0,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Andere",0,"Prozent (%)","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
2010,"Kanton Zürich","M4","Neuzulassungen - Antriebsart bei Sachentransportfahrzeugen","Lieferwagen","Benzin, Diesel",4293,"Anzahl","Neue Inverkehrsetzungen von Strassenfahrzeugen (IVS), Bundesamt für Strassen (ASTRA) - IVZ-Fahrzeuge"
